gain_mc_arr,bw_mc_arr
1.050939999999999985e+00,2.786160000000000000e+07
1.009970000000000034e+00,2.420210000000000000e+07
1.088689999999999936e+00,2.682980000000000000e+07
1.030850000000000044e+00,2.468960000000000000e+07
1.057949999999999946e+00,2.659650000000000000e+07
1.039560000000000040e+00,2.583580000000000000e+07
1.031959999999999988e+00,2.706020000000000000e+07
1.012920000000000043e+00,2.933600000000000000e+07
9.695169999999999622e-01,2.186310000000000000e+07
9.702490000000000281e-01,2.527690000000000000e+07
8.509349999999999969e-01,2.556010000000000000e+07
9.240350000000000508e-01,2.424570000000000000e+07
9.684009999999999563e-01,2.582870000000000000e+07
1.114460000000000006e+00,2.748950000000000000e+07
9.964020000000000099e-01,2.797290000000000000e+07
1.070980000000000043e+00,2.837250000000000000e+07
1.067430000000000101e+00,2.487720000000000000e+07
1.079730000000000079e+00,1.898840000000000000e+07
9.582359999999999767e-01,2.625800000000000000e+07
9.515169999999999462e-01,2.554250000000000000e+07
9.355710000000000415e-01,2.460370000000000000e+07
1.020510000000000028e+00,2.512050000000000000e+07
1.024739999999999984e+00,2.832350000000000000e+07
1.007540000000000102e+00,2.736050000000000000e+07
9.678700000000000081e-01,2.702400000000000000e+07
9.590070000000000539e-01,2.700140000000000000e+07
8.365989999999999815e-01,2.300960000000000000e+07
9.839010000000000256e-01,2.636170000000000000e+07
1.070000000000000062e+00,2.782000000000000000e+07
1.009430000000000049e+00,2.682560000000000000e+07
1.003949999999999898e+00,2.823510000000000000e+07
9.759929999999999994e-01,2.351400000000000000e+07
1.185089999999999977e+00,2.679390000000000000e+07
8.841890000000000027e-01,2.571860000000000000e+07
1.001130000000000075e+00,2.883350000000000000e+07
1.025060000000000082e+00,2.944310000000000000e+07
1.010809999999999986e+00,2.414790000000000000e+07
1.057809999999999917e+00,2.827500000000000000e+07
1.023090000000000055e+00,2.856350000000000000e+07
1.044459999999999944e+00,2.795410000000000000e+07
9.852279999999999927e-01,2.767340000000000000e+07
1.019130000000000091e+00,2.811800000000000000e+07
9.265449999999999520e-01,2.663740000000000000e+07
9.937350000000000350e-01,2.412550000000000000e+07
1.034280000000000088e+00,2.784660000000000000e+07
1.009430000000000049e+00,2.788840000000000000e+07
1.045479999999999965e+00,2.364120000000000000e+07
1.047390000000000043e+00,2.408330000000000000e+07
1.060279999999999889e+00,2.338870000000000000e+07
1.057919999999999972e+00,2.724140000000000000e+07
1.049970000000000070e+00,2.860140000000000000e+07
9.947470000000000478e-01,2.579710000000000000e+07
9.764129999999999754e-01,2.630780000000000000e+07
9.501859999999999751e-01,2.701440000000000000e+07
1.107960000000000056e+00,2.733470000000000000e+07
9.824819999999999665e-01,2.809990000000000000e+07
1.138609999999999900e+00,2.542580000000000000e+07
9.479440000000000088e-01,2.417860000000000000e+07
1.034030000000000005e+00,2.644150000000000000e+07
1.056000000000000050e+00,2.937530000000000000e+07
9.734829999999999872e-01,2.483610000000000000e+07
1.009290000000000020e+00,2.667880000000000000e+07
9.334980000000000500e-01,2.731890000000000000e+07
1.107969999999999899e+00,2.866130000000000000e+07
9.989479999999999471e-01,2.696200000000000000e+07
9.799759999999999582e-01,2.567850000000000000e+07
1.039600000000000080e+00,2.851880000000000000e+07
1.081139999999999990e+00,2.761920000000000000e+07
8.680860000000000243e-01,2.147870000000000000e+07
1.136490000000000000e+00,2.748360000000000000e+07
9.399220000000000352e-01,2.797320000000000000e+07
1.021300000000000097e+00,2.788470000000000000e+07
1.036340000000000039e+00,2.554020000000000000e+07
1.027020000000000044e+00,2.851210000000000000e+07
1.088230000000000031e+00,2.727670000000000000e+07
9.242280000000000495e-01,2.525060000000000000e+07
9.838860000000000383e-01,2.606300000000000000e+07
1.094489999999999963e+00,2.631070000000000000e+07
9.938420000000000032e-01,2.507350000000000000e+07
9.330300000000000260e-01,2.312600000000000000e+07
1.015509999999999913e+00,2.733850000000000000e+07
9.762189999999999479e-01,2.548290000000000000e+07
1.093409999999999993e+00,2.755020000000000000e+07
1.011190000000000033e+00,2.645030000000000000e+07
1.044829999999999925e+00,2.379050000000000000e+07
9.911210000000000298e-01,2.628820000000000000e+07
1.018750000000000044e+00,2.629040000000000000e+07
1.028080000000000105e+00,2.903950000000000000e+07
1.029220000000000024e+00,2.703360000000000000e+07
1.028110000000000079e+00,2.798570000000000000e+07
9.383200000000000429e-01,2.385820000000000000e+07
9.651899999999999924e-01,2.584480000000000000e+07
9.219709999999999850e-01,2.571540000000000000e+07
9.917310000000000292e-01,2.653770000000000000e+07
9.208699999999999664e-01,2.680270000000000000e+07
9.514169999999999572e-01,2.792110000000000000e+07
9.657580000000000053e-01,2.626300000000000000e+07
9.773810000000000553e-01,2.636790000000000000e+07
1.054890000000000105e+00,2.535870000000000000e+07
1.092659999999999965e+00,2.146710000000000000e+07
