gain_mc_arr,bw_mc_arr
1.063620000000000010e+00,1.840510000000000000e+08
1.016189999999999927e+00,1.442100000000000000e+08
1.104230000000000045e+00,1.696630000000000000e+08
1.031740000000000101e+00,1.621230000000000000e+08
1.303569999999999895e+00,3.375720000000000000e+07
1.042110000000000092e+00,1.546570000000000000e+08
1.025039999999999951e+00,2.091920000000000000e+08
1.069620000000000015e+00,1.963650000000000000e+08
9.554139999999999855e-01,1.347120000000000000e+08
9.642370000000000108e-01,1.642120000000000000e+08
8.232720000000000038e-01,1.957760000000000000e+08
9.105109999999999593e-01,1.508570000000000000e+08
9.698639999999999484e-01,1.979150000000000000e+08
1.152840000000000087e+00,2.433990000000000000e+08
1.020119999999999916e+00,2.343690000000000000e+08
1.096279999999999921e+00,1.417420000000000000e+08
1.065309999999999979e+00,1.559510000000000000e+08
1.076500000000000012e+00,2.416940000000000000e+07
9.689240000000000075e-01,2.128770000000000000e+08
9.402519999999999767e-01,2.520410000000000000e+08
9.278100000000000236e-01,1.268630000000000000e+08
1.026780000000000026e+00,1.874730000000000000e+08
1.056289999999999951e+00,1.223700000000000000e+08
9.955089999999999772e-01,1.440570000000000000e+08
9.484550000000000480e-01,2.553160000000000000e+08
1.027910000000000101e+00,8.424240000000000000e+07
8.092620000000000369e-01,1.234130000000000000e+08
1.012259999999999938e+00,2.586300000000000000e+08
1.081990000000000007e+00,2.274330000000000000e+08
1.002559999999999896e+00,1.644480000000000000e+08
1.080079999999999929e+00,2.155660000000000000e+08
9.915129999999999777e-01,9.280270000000000000e+07
1.227440000000000087e+00,1.907160000000000000e+08
8.661680000000000490e-01,1.859100000000000000e+08
1.011390000000000011e+00,1.790040000000000000e+08
9.946709999999999718e-01,7.308020000000000000e+07
1.055190000000000072e+00,1.486440000000000000e+08
1.107599999999999918e+00,1.693080000000000000e+08
1.050179999999999891e+00,2.790560000000000000e+08
1.034859999999999891e+00,2.118800000000000000e+08
9.725129999999999608e-01,2.232100000000000000e+08
1.021249999999999991e+00,2.736010000000000000e+08
9.056880000000000486e-01,1.819450000000000000e+08
9.839860000000000273e-01,9.100000000000000000e+07
1.018720000000000070e+00,1.958100000000000000e+08
1.219440000000000079e+00,3.466750000000000000e+07
1.024680000000000035e+00,8.032890000000000000e+07
1.028550000000000075e+00,1.048300000000000000e+08
1.082969999999999988e+00,1.455300000000000000e+08
1.118139999999999912e+00,1.723130000000000000e+08
1.009400000000000075e+00,5.597660000000000000e+07
9.924790000000000001e-01,1.979670000000000000e+08
9.656209999999999516e-01,1.433690000000000000e+08
8.657190000000000163e-01,9.839280000000000000e+07
1.140549999999999953e+00,2.229350000000000000e+08
9.671570000000000444e-01,2.116780000000000000e+08
1.162179999999999991e+00,1.733660000000000000e+08
9.415790000000000548e-01,1.564280000000000000e+08
1.029549999999999965e+00,1.441630000000000000e+08
1.070130000000000026e+00,1.999260000000000000e+08
9.658120000000000038e-01,1.432980000000000000e+08
9.647769999999999957e-01,9.179290000000000000e+07
9.170209999999999750e-01,2.591770000000000000e+08
1.151550000000000074e+00,1.909980000000000000e+08
9.980400000000000382e-01,2.771660000000000000e+08
9.757209999999999495e-01,1.724970000000000000e+08
1.036329999999999973e+00,2.299860000000000000e+08
1.074559999999999960e+00,1.341520000000000000e+08
8.308750000000000302e-01,7.245450000000000000e+07
1.175850000000000062e+00,2.088260000000000000e+08
9.881980000000000208e-01,1.005730000000000000e+08
1.067399999999999904e+00,1.769050000000000000e+08
1.046790000000000109e+00,1.858850000000000000e+08
1.043160000000000087e+00,2.537500000000000000e+08
1.079550000000000010e+00,1.786520000000000000e+08
9.043470000000000120e-01,1.619190000000000000e+08
9.791060000000000318e-01,1.902460000000000000e+08
1.129839999999999955e+00,1.979780000000000000e+08
9.996920000000000250e-01,1.594120000000000000e+08
9.230080000000000506e-01,1.148890000000000000e+08
1.047700000000000076e+00,1.419570000000000000e+08
9.560579999999999634e-01,1.705740000000000000e+08
1.120409999999999906e+00,2.048250000000000000e+08
9.931950000000000500e-01,1.733380000000000000e+08
1.057670000000000110e+00,1.285270000000000000e+08
9.992560000000000331e-01,2.022910000000000000e+08
1.046850000000000058e+00,1.986860000000000000e+08
1.035889999999999977e+00,1.453810000000000000e+08
1.035400000000000098e+00,1.963900000000000000e+08
1.061190000000000078e+00,2.718530000000000000e+08
9.196830000000000283e-01,1.531580000000000000e+08
9.538180000000000547e-01,1.994390000000000000e+08
8.935520000000000129e-01,1.508300000000000000e+08
1.025050000000000017e+00,1.502350000000000000e+08
9.219169999999999865e-01,2.142290000000000000e+08
9.433150000000000146e-01,2.149900000000000000e+08
8.988960000000000283e-01,6.607140000000000000e+07
1.047350000000000003e+00,9.141250000000000000e+07
1.056189999999999962e+00,1.593660000000000000e+08
1.103569999999999940e+00,9.355980000000000000e+07
